Unnamed: 0,CPUname,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
2,Intel Core i5-1145G7,CPU,2020-09-02,10.0,28.0,,,2600.0,Intel,Intel,,,,,10413,,2821,,28.0,371.89,4,2021,FCBGA1449,Laptop
3,Intel Xeon E5-2603 v2,CPU,2013-09-01,22.0,80.0,160.0,1400.0,1800.0,Intel,Intel,,,,59.0,2751,46.63,977,16.57,80.0,34.39,4,2014,LGA 2011,Server
5,Intel Xeon E5-2470 v2,CPU,2013-09-01,22.0,95.0,160.0,1400.0,2400.0,Intel,Intel,,,,237.45,10902,45.91,1503,6.33,95.0,114.76,10,2016,LGA 1356,Server
8,Intel Core i3-1125G4,CPU,2020-09-02,10.0,28.0,,,2000.0,Intel,Intel,,,,,9932,,2511,,28.0,354.72,4,2021,FCBGA1449,Laptop
11,Intel Core i7-3632QM,CPU,2012-10-19,22.0,35.0,160.0,1480.0,2200.0,Intel,Intel,,,,89.9,4628,51.48,1581,17.59,35.0,132.22,4,2012,rPGA988B,Laptop
13,Intel Core i5-8269U,CPU,2018-04-05,14.0,28.0,123.0,,2600.0,Intel,Intel,,,,320.0,8055,25.17,2561,8.0,28.0,287.69,4,2021,FCBGA1528,"Laptop, Mobile/Embedded"
15,Intel Pentium 3560Y,CPU,2013-09-01,22.0,12.0,118.0,1400.0,1200.0,Intel,Intel,,,,,849,,700,,11.5,73.83,2,2013,BGA1168,Laptop
18,Intel Xeon E5-2430 v2,CPU,2013-09-01,22.0,80.0,160.0,1400.0,2500.0,Intel,Intel,,,,201.5,6864,34.07,1413,7.01,80.0,85.8,6,2014,LGA 1356,Server
20,Intel Core i5-3427U,CPU,2012-06-01,22.0,17.0,118.0,,1800.0,Intel,Intel,,,,420.05,2269,5.4,1369,3.26,17.0,133.46,2,2012,BGA1023,Laptop
23,Intel Core i7-975,CPU,2009-06-02,45.0,130.0,263.0,731.0,3333.0,Intel,Intel,,,,770.0,3370,4.38,1508,1.96,130.0,25.92,4,2009,LGA1366,Desktop
26,Intel Pentium D 830,CPU,2005-05-26,90.0,130.0,206.0,169.0,3000.0,Intel,Intel,,,,,494,,550,,95.0,5.2,2,2008,PLGA775,Desktop
33,Intel Xeon E5-2690 v2,CPU,2013-09-01,22.0,130.0,160.0,1400.0,3000.0,Intel,Intel,,,,148.0,13481,91.08,1880,12.7,130.0,103.7,10,2013,FCLGA2011,Server
34,Intel Xeon Platinum 8380,CPU,2021-04-06,10.0,270.0,,,2300.0,Intel,Intel,,,,8978.0,62317,6.94,2385,0.27,270.0,230.81,40,2021,FCLGA4189,Server
39,Intel Core i3-2330M,CPU,2011-06-01,32.0,35.0,149.0,624.0,2200.0,Intel,Intel,,,,39.95,1235,30.9,984,24.62,35.0,35.27,2,2011,BGA1023,Laptop
45,Intel Core i7-4500U,CPU,2013-06-04,22.0,15.0,118.0,1300.0,1800.0,Intel,Intel,,,,,2529,,1546,,15.0,168.63,2,2013,BGA1168,Laptop
47,Intel Core i3-8300,CPU,2018-02-14,14.0,62.0,,,3700.0,Intel,Intel,,,,265.7,6136,23.1,2262,8.51,62.0,98.97,4,2018,FCLGA1151-2,Desktop
53,Intel Pentium Gold G6405T,CPU,2021-03-16,14.0,35.0,,,3500.0,Intel,Intel,,,,64.0,3746,58.54,2206,34.47,35.0,107.04,2,2021,FCLGA1200,Desktop
56,Intel Core i9-10900K,CPU,2020-04-30,14.0,125.0,206.0,,3700.0,Intel,Intel,,,,389.97,23768,60.95,3167,8.12,125.0,190.14,10,2020,FCLGA1200,Desktop
57,Intel Pentium 2129Y,CPU,2012-09-01,22.0,10.0,118.0,1400.0,1100.0,Intel,Intel,,,,134.0,635,4.74,587,4.38,10.0,63.52,2,2014,FCBGA1023,Laptop
62,Intel Celeron 3205U,CPU,2015-03-01,14.0,15.0,,,1500.0,Intel,Intel,,,,287.04,918,3.2,879,3.06,15.0,61.19,2,2015,FCBGA1168,Laptop
63,Intel Core i3-10305T,CPU,2021-03-16,14.0,35.0,,,3000.0,Intel,Intel,,,,143.0,8136,56.9,2456,17.18,35.0,232.46,4,2021,FCLGA1200,Desktop
70,Intel Xeon E5-2620 v2,CPU,2013-09-01,22.0,80.0,160.0,1400.0,2100.0,Intel,Intel,,,,49.0,6246,127.47,1303,26.59,80.0,78.08,6,2013,FCLGA2011,Server
71,Intel Core i9-10850K,CPU,2020-07-27,14.0,125.0,206.0,,3600.0,Intel,Intel,,,,408.44,23055,56.45,3091,7.57,125.0,184.44,10,2020,FCLGA1200,Desktop
72,Intel Core i5-11600,CPU,2021-03-16,14.0,65.0,,,2800.0,Intel,Intel,,,,216.41,18318,84.64,3302,15.26,65.0,281.81,6,2021,FCLGA1200,Desktop
73,Intel Core i7-3555LE,CPU,2012-06-03,22.0,25.0,118.0,,2500.0,Intel,Intel,,,,,1880,,980,,25.0,75.2,2,2012,BGA1023,Laptop
75,Intel Core i3-8130U,CPU,2018-02-13,14.0,15.0,123.0,,2400.0,Intel,Intel,,,,281.0,3648,12.98,1942,6.91,15.0,243.19,2,2018,FCBGA1356,Laptop
79,Intel Atom N2600,CPU,2011-12-01,32.0,4.0,66.0,176.0,1600.0,Intel,Intel,,,,,323,,292,,3.5,92.35,2,2012,BGA559,Laptop
82,Intel Core i7-8809G,CPU,2018-02-01,14.0,65.0,,,3100.0,Intel,Intel,,,,,8759,,2458,,100.0,87.59,4,2018,BGA2270,Laptop
84,Intel Celeron 2980U,CPU,2013-09-01,22.0,15.0,118.0,1400.0,1600.0,Intel,Intel,,,,,1056,,929,,15.0,70.38,2,2014,FCBGA1168,Laptop
86,Intel Xeon E5-2630L v2,CPU,2013-09-01,22.0,60.0,160.0,1400.0,2400.0,Intel,Intel,,,,88.65,6610,74.56,1388,15.66,60.0,110.17,6,2014,LGA 2011,Server
87,Intel Core i5-3570,CPU,2012-06-01,22.0,77.0,133.0,,3400.0,Intel,Intel,,,,166.0,4910,29.58,2049,12.34,77.0,63.77,4,2012,LGA1155,Desktop
93,Intel Core i3-10110U,CPU,2019-08-21,14.0,25.0,,,2100.0,Intel,Intel,,,,434.17,4005,9.22,2266,5.22,15.0,267.01,2,2019,FCBGA1528,Laptop
94,Intel Core i3-10305,CPU,2021-03-16,14.0,65.0,,,3800.0,Intel,Intel,,,,159.99,9689,60.56,2834,17.71,65.0,149.06,4,2021,FCLGA1200,Desktop
95,Intel Core Solo T1350,CPU,2006-01-05,65.0,27.0,90.0,151.0,1866.0,Intel,Intel,,,,,194,,413,,31.0,6.26,1,2009,unknown,Laptop
97,Intel Core Duo T2600,CPU,2006-01-05,65.0,31.0,90.0,151.0,2166.0,Intel,Intel,,,,,450,,667,,31.0,14.53,2,2009,BGA479,Laptop
98,Intel Pentium G4500,CPU,2015-09-01,14.0,51.0,150.0,1400.0,3500.0,Intel,Intel,,,,166.67,2734,16.4,2135,12.81,51.0,53.61,2,2015,FCLGA1151,Desktop
103,Intel Celeron B800,CPU,2011-06-19,32.0,35.0,131.0,504.0,1500.0,Intel,Intel,,,,24.99,649,25.98,645,25.83,35.0,18.55,2,2011,PGA988B,Laptop
